Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
TabR,0.9505,0.9034,0.9505,0.9263,0.8067,0.1745
FitabR,0.9505,0.9034,0.9505,0.9263,0.8228,0.1646
FitabR_No_Residual,0.9505,0.9034,0.9505,0.9263,0.8128,0.1758
FitabR_No_Scale,0.9505,0.9034,0.9505,0.9263,0.8039,0.1808
FitabR_Uniform,0.9505,0.9034,0.9505,0.9263,0.8003,0.169
