Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
TabR,0.8841 ± 0.0000,0.8880 ± 0.0000,0.8841 ± 0.0000,0.8844 ± 0.0000,0.9510 ± 0.0006,0.3586 ± 0.0267
FitabR,0.8937 ± 0.0042,0.8977 ± 0.0043,0.8937 ± 0.0042,0.8940 ± 0.0042,0.9510 ± 0.0009,0.3038 ± 0.0097
FitabR_No_Residual,0.8647 ± 0.0111,0.8687 ± 0.0104,0.8647 ± 0.0111,0.8651 ± 0.0110,0.9402 ± 0.0061,0.4050 ± 0.0603
FitabR_No_Scale,0.8986 ± 0.0072,0.9033 ± 0.0073,0.8986 ± 0.0072,0.8988 ± 0.0072,0.9508 ± 0.0016,0.3028 ± 0.0070
FitabR_Uniform,0.8913 ± 0.0126,0.8965 ± 0.0126,0.8913 ± 0.0126,0.8916 ± 0.0125,0.9509 ± 0.0022,0.3240 ± 0.0209
