Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
TabR,0.7529 ± 0.0050,0.7515 ± 0.0062,0.7529 ± 0.0050,0.7520 ± 0.0058,0.7963 ± 0.0072,0.5511 ± 0.0120
FitabR,0.7586 ± 0.0086,0.7595 ± 0.0099,0.7586 ± 0.0086,0.7589 ± 0.0092,0.7953 ± 0.0047,0.5474 ± 0.0044
FitabR_No_Residual,0.7500 ± 0.0086,0.7465 ± 0.0081,0.7500 ± 0.0086,0.7469 ± 0.0082,0.7994 ± 0.0089,0.5254 ± 0.0165
FitabR_No_Scale,0.7471 ± 0.0100,0.7464 ± 0.0106,0.7471 ± 0.0100,0.7467 ± 0.0104,0.7973 ± 0.0075,0.5393 ± 0.0187
FitabR_Uniform,0.7500 ± 0.0149,0.7509 ± 0.0118,0.7500 ± 0.0149,0.7501 ± 0.0132,0.7944 ± 0.0044,0.5501 ± 0.0086
