Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
CatBoost,0.9492,0.9033,0.9492,0.9257,0.8334,0.2804
XGBoost,0.9518,0.9387,0.9518,0.9317,0.8174,0.2986
Lightgbm,0.9505,0.9034,0.9505,0.9263,0.8222,0.1633
MLP,0.9505,0.9034,0.9505,0.9263,0.8124,0.188
Saint,0.9505,0.9034,0.9505,0.9263,0.7607,0.1964
FT-Transformer,0.9505,0.9034,0.9505,0.9263,0.8324,0.1719
TabR,0.9505,0.9034,0.9505,0.9263,0.8067,0.1745
FiTabR,0.9505,0.9034,0.9505,0.9263,0.8228,0.1646
