Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
CatBoost,0.9884,0.9886,0.9884,0.9883,1.0,0.0495
XGBoost,0.9767,0.9776,0.9767,0.9766,0.9954,0.5849
Lightgbm,0.9767,0.9776,0.9767,0.9766,1.0,0.0539
MLP,0.9884,0.9886,0.9884,0.9883,1.0,0.0263
Saint,0.9884,0.9886,0.9884,0.9883,1.0,0.0331
FT-Transformer,0.9884,0.9886,0.9884,0.9883,1.0,0.1469
TabR,0.9884,0.9886,0.9884,0.9883,0.9994,0.1183
FiTabR,0.9767,0.9776,0.9767,0.9766,0.9994,0.1884
