Model,Accuracy,Positive Precision,Positive Recall,Positive F1,Macro F1,Balanced Accuracy,ROC-AUC,Cross-Entropy
TabR,0.9505 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4873 ± 0.0000,0.5000 ± 0.0000,0.8136 ± 0.0078,0.1780 ± 0.0050
FiTabR,0.9505 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.4873 ± 0.0000,0.5000 ± 0.0000,0.8095 ± 0.0126,0.1750 ± 0.0091
