Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
CatBoost,0.7586 ± 0.0086,0.7550 ± 0.0083,0.7586 ± 0.0086,0.7554 ± 0.0080,0.7918 ± 0.0035,0.6831 ± 0.0029
XGBoost,0.7672 ± 0.0000,0.7636 ± 0.0002,0.7672 ± 0.0000,0.7610 ± 0.0011,0.8078 ± 0.0034,0.5895 ± 0.0236
LightGBM,0.7500 ± 0.0149,0.7467 ± 0.0159,0.7500 ± 0.0149,0.7437 ± 0.0132,0.8086 ± 0.0060,0.5253 ± 0.0023
MLP,0.7644 ± 0.0050,0.7633 ± 0.0071,0.7644 ± 0.0050,0.7635 ± 0.0065,0.7918 ± 0.0054,0.5659 ± 0.0185
SAINT,0.7529 ± 0.0100,0.7638 ± 0.0073,0.7529 ± 0.0100,0.7558 ± 0.0095,0.8054 ± 0.0003,0.5339 ± 0.0048
FT-Transformer,0.7701 ± 0.0263,0.7774 ± 0.0203,0.7701 ± 0.0263,0.7722 ± 0.0250,0.8135 ± 0.0071,0.5337 ± 0.0223
TabR,0.7529 ± 0.0050,0.7515 ± 0.0062,0.7529 ± 0.0050,0.7520 ± 0.0058,0.7963 ± 0.0072,0.5511 ± 0.0120
FiTabR,0.7538 ± 0.0276,0.7545 ± 0.0232,0.7528 ± 0.0262,0.7533 ± 0.0251,0.7963 ± 0.0040,0.5445 ± 0.0143
