Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
CatBoost,0.8913,0.8925,0.8913,0.8915,0.9336,0.3447
XGBoost,0.8841,0.8847,0.8841,0.8842,0.9344,0.3427
Lightgbm,0.8841,0.8847,0.8841,0.8842,0.9433,0.3186
MLP,0.8768,0.8781,0.8768,0.877,0.9359,0.3314
Saint,0.8841,0.886,0.8841,0.8843,0.9402,0.3247
FT-Transformer,0.8768,0.8781,0.8768,0.877,0.9387,0.3473
TabR,0.8841,0.888,0.8841,0.8844,0.9503,0.37
FiTabR,0.8913,0.8942,0.8913,0.8916,0.9506,0.315
