Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
CatBoost,0.9500 ± 0.0008,0.9033 ± 0.0000,0.9500 ± 0.0008,0.9261 ± 0.0004,0.8294 ± 0.0168,0.3105 ± 0.0525
XGBoost,0.9513 ± 0.0008,0.9407 ± 0.0125,0.9513 ± 0.0008,0.9300 ± 0.0016,0.8201 ± 0.0024,0.2259 ± 0.0678
LightGBM,0.9518 ± 0.0013,0.9376 ± 0.0296,0.9518 ± 0.0013,0.9294 ± 0.0031,0.8199 ± 0.0023,0.1640 ± 0.0007
MLP,0.9505 ± 0.0000,0.9034 ± 0.0000,0.9505 ± 0.0000,0.9263 ± 0.0000,0.8220 ± 0.0087,0.1738 ± 0.0129
SAINT,0.9505 ± 0.0000,0.9034 ± 0.0000,0.9505 ± 0.0000,0.9263 ± 0.0000,0.7368 ± 0.0528,0.2042 ± 0.0067
FT-Transformer,0.9505 ± 0.0000,0.9034 ± 0.0000,0.9505 ± 0.0000,0.9263 ± 0.0000,0.8328 ± 0.0036,0.1663 ± 0.0049
TabR,0.9505 ± 0.0000,0.9034 ± 0.0000,0.9505 ± 0.0000,0.9263 ± 0.0000,0.8136 ± 0.0078,0.1780 ± 0.0050
FiTabR,0.9505 ± 0.0000,0.9034 ± 0.0000,0.9505 ± 0.0000,0.9263 ± 0.0000,0.8095 ± 0.0126,0.1750 ± 0.0091
