Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,Cross-Entropy
CatBoost,0.75,0.747,0.75,0.748,0.792,0.6799
XGBoost,0.7672,0.7637,0.7672,0.7604,0.8098,0.597
Lightgbm,0.7414,0.736,0.7414,0.7327,0.8054,0.5244
MLP,0.7672,0.7662,0.7672,0.7667,0.7859,0.5873
Saint,0.7586,0.7681,0.7586,0.7613,0.8054,0.529
FT-Transformer,0.7759,0.7814,0.7759,0.7777,0.8104,0.5455
TabR,0.7586,0.7586,0.7586,0.7586,0.7952,0.5499
FiTabR,0.7786,0.7766,0.7756,0.7761,0.8009,0.531
